node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
blaLEN-23	blaLEN	blaLEN-23	BETA-LACTAM	BETA-LACTAM	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
blaLEN-34	blaLEN	blaLEN-34	BETA-LACTAM	BETA-LACTAM	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
blaLEN-39	blaLEN	blaLEN-39	BETA-LACTAM	BETA-LACTAM	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
blaLEN-40	blaLEN	blaLEN-40	BETA-LACTAM	BETA-LACTAM	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
blaLEN-41	blaLEN	blaLEN-41	BETA-LACTAM	BETA-LACTAM	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
blaLEN-42	blaLEN	blaLEN-42	BETA-LACTAM	BETA-LACTAM	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
blaNDM-3	blaNDM	blaNDM-3	BETA-LACTAM	CARBAPENEM	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
blaNDM-7	blaNDM	blaNDM-7	BETA-LACTAM	CARBAPENEM	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
blaOXA-17	blaOXA-10_fam	blaOXA-17	BETA-LACTAM	CEPHALOSPORIN	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
blaSHV-13	blaSHV	blaSHV-13	BETA-LACTAM	CEPHALOSPORIN	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
blaSHV-40	blaSHV	blaSHV-40	BETA-LACTAM	BETA-LACTAM	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
blaTEM-116	blaTEM	blaTEM-116	BETA-LACTAM	BETA-LACTAM	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
blaTEM-135	blaTEM	blaTEM-135	BETA-LACTAM	BETA-LACTAM	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
blaTEM-240	blaTEM	blaTEM-240	BETA-LACTAM	BETA-LACTAM	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
blaTEM-33	blaTEM	blaTEM-33	BETA-LACTAM	BETA-LACTAM	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
blaTEM-4	blaTEM	blaTEM-4	BETA-LACTAM	CEPHALOSPORIN	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
blaTEM-40	blaTEM	blaTEM-40	BETA-LACTAM	BETA-LACTAM	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
blaVEB-3	blaVEB	blaVEB-3	BETA-LACTAM	CEPHALOSPORIN	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
blaVEB-5	blaVEB	blaVEB-5	BETA-LACTAM	CEPHALOSPORIN	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
blaVIM-23	blaVIM	blaVIM-23	BETA-LACTAM	CARBAPENEM	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
dfrB3	dfrB	dfrB3	TRIMETHOPRIM	TRIMETHOPRIM	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
mcr-1.1	mcr-1	mcr-1.1	COLISTIN	COLISTIN	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
oqxB5	oqxB	oqxB5	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
qnrS2	qnrS	qnrS2	QUINOLONE	QUINOLONE	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
rmtF1	rmtF	rmtF1	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
mgrB	NA	mgrB_I45T	COLISTIN	COLISTIN	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
mgrB	NA	mgrB_Q30STOP	COLISTIN	COLISTIN	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
ompK36	NA	ompK36_D135DGD	BETA-LACTAM	CARBAPENEM	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
oqxR	NA	oqxR_Q11L	TETRACYCLINE	TIGECYCLINE	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
aac(3)_IV_fam	NA	NA	NA	NA	Klebsiella variicola	0	1	1	4.1254125412541255e-4	2424
aph(3')-II	NA	NA	NA	NA	Klebsiella variicola	0	1	1	4.1254125412541255e-4	2424
aph(4)-I	NA	NA	NA	NA	Klebsiella variicola	0	1	1	4.1254125412541255e-4	2424
bla-A_carba	NA	NA	NA	NA	Klebsiella variicola	0	1	1	4.1254125412541255e-4	2424
bla-C	NA	NA	NA	NA	Klebsiella variicola	0	1	1	4.1254125412541255e-4	2424
blaFONA	NA	NA	NA	NA	Klebsiella variicola	0	1	1	4.1254125412541255e-4	2424
blaIMI	NA	NA	NA	NA	Klebsiella variicola	0	1	1	4.1254125412541255e-4	2424
blaOKP	NA	NA	NA	NA	Klebsiella variicola	0	1	1	4.1254125412541255e-4	2424
cat	NA	NA	NA	NA	Klebsiella variicola	0	1	1	4.1254125412541255e-4	2424
lnu_BFG	NA	NA	NA	NA	Klebsiella variicola	0	1	1	4.1254125412541255e-4	2424
mcr-1	NA	NA	NA	NA	Klebsiella variicola	0	1	1	4.1254125412541255e-4	2424
rmtF	NA	NA	NA	NA	Klebsiella variicola	0	1	1	4.1254125412541255e-4	2424
tet(M-W-O-S)	NA	NA	NA	NA	Klebsiella variicola	0	1	1	4.1254125412541255e-4	2424
